launchVehicle
"Soyuz 2,1v"
Long March 3B
Atlas 2A
Atlas 2AS
Proton M
Ariane 44L
Ariane 44LP
Proton K
Ariane 5G
Soyuz 2.1b
Zenit 3SLB
Zenit 2SB
Delta 2310
Soyuz
Epsilon
Falcon Heavy
Proton D
Breeze M
Ariane 42P
PSLV C-30
PSLV-C29
Long March 4B
Long March 3C
Long March 3A
Kosmos 3M
J-SSOD Deployer
PSLV C3
PSLV XL
Soyuz-Fregat
CZ-4B
Delta 2
Long March 11
PSLV C9
PSLV C6
PSLV C7
Atlas  5
Kuaizhou
Long March 2C
Space Shuttle (STS 93)
Long March 2D
H2A
SEOPS Slingshot Deployer
Strela
Titan 2
Minotaur-1
Rokot
Soyuz 2.1v
Delta 7000
Delta 7420
Pegasus
Long March 6
Minotaur 4
Zenit 3SL
Proton M/Breeze M
PSLV C2
Delta 4
Minotaur-C
Titan IVB
Titan 4B
Atlas 3B
Soyuz 2.1
Zenit
Soyuz 2/Fregat
Delta
Soyuz 2.1a
Ariane 5 ECA
Falcon 9
Titan IVA
Titan IV
Delta 4 Heavy
Atlas 5
Start 1
Ariane 4
Atlas 3A
Proton/Breeze M
Proton DM
Long March 4C
Atlas Centaur
Zenit 3
Soyuz-ST
Ariane 5 ES
Soyuz U
Soyuz.2.1a/Fregat
Soyuz 2.1a/Fregat
Soyuz 2
PSLV C17
GSLV
GSLV MK.3
GSLV Mk.2
Delta 4M
Delta 4M+
Kuaizhou 1A
JAXA M-V
Space Shuttle (STS 31)
Nanoracks Deployer
Atlas
GSLV F04
Delta 2 7920
L1011
PSLV-XL
PSLV-C27
PSLV C5
Antares 230
Delta 7920
Soyuz-Fregat(Soyuz 2)
Atlas 5 ECA
Titan 4A
Taurus
Ariane 42L
Soyuz-ST-B
Shavit
Ariane
Vega
Nanorack Deployer
Electron
Dnepr
Ariane 5
Pegasus XL
PSLV-CA
Soyuz-2.1b
Soyuz ST-B
SEOPS Slingshot deployer 
Athena 1
Soyuz STA/Fregat
PSLV
Atlas 3
Proton
Breeze KM
Jielong 1
Kaber Microsatellite Deployer
PSLV C16
PSLV C12
Long March 5
Manual Deployment
Zenit 3SLBF/Fregat SB
Japanese Experiment Module
Minotaur 1
Tsyklon 3
Naro-1
Delta 7320
Space Shuttle (STS 26)
Space Shuttle (STS 43)
Space Shuttle (STS 54)
Space Shuttle (STS 70)
PSLV C10
PSLV C29
KT-2
Zenit 2M
Atlas 2
Chang Zheng 4B
